BLOCK_NUMBER,TYPE,SHOW_TIME,RELATIONS,FEEDB,WAIT_TIME,TIP,TIP_TIME
1,instruction,5,,,,instruction1.txt,
1,training,150,2,1,5,,4
1,training,150,2,1,5,,4
2,instruction,5,,,,instruction2.txt,
2,experiment,120,2,0,5,,4
2,experiment,120,2,0,5,,4
2,experiment,120,2,0,5,,4
2,experiment,120,2,0,5,,4
2,experiment,120,2,0,5,,4
2,experiment,120,2,0,5,,4
2,experiment,120,3,0,5,,4
2,experiment,120,3,0,5,,4
2,experiment,120,3,0,5,,4
2,experiment,120,3,0,5,,4
2,experiment,120,3,0,5,,4
2,experiment,120,3,0,5,,4
2,experiment,120,4,0,5,,4
2,experiment,120,4,0,5,,4
2,experiment,120,4,0,5,,4
2,experiment,120,4,0,5,,4
2,experiment,120,4,0,5,,4
2,experiment,120,4,0,5,,4
