choosed_option,ans_accept,rt,corr,time,rel,feedb,wait,exp,type
D3,True,2.8215909004211426,False,150,2,1,5,training,trial
D4,True,1.3000359535217285,False,150,2,1,5,training,trial
D4,True,1.0717401504516602,False,120,4,0,5,experiment,trial
D5,True,0.9248919486999512,False,120,4,0,5,experiment,trial
D3,True,0.9456889629364014,False,120,3,0,5,experiment,trial
D2,True,1.0105409622192383,False,120,2,0,5,experiment,trial
D4,True,0.9510691165924072,False,120,2,0,5,experiment,trial
D5,True,0.9103248119354248,False,120,3,0,5,experiment,trial
D3,True,0.9362258911132812,False,120,3,0,5,experiment,trial
D4,True,1.0445740222930908,False,120,2,0,5,experiment,trial
D4,True,0.9963858127593994,False,120,4,0,5,experiment,trial
D5,True,1.0011229515075684,False,120,4,0,5,experiment,trial
D3,True,0.9817450046539307,False,120,3,0,5,experiment,trial
D3,True,1.7493209838867188,False,120,2,0,5,experiment,trial
D1,True,1.0245749950408936,True,120,3,0,5,experiment,trial
D6,True,0.9888169765472412,False,120,3,0,5,experiment,trial
D6,True,0.9226729869842529,False,120,4,0,5,experiment,trial
D2,True,1.242466926574707,False,120,2,0,5,experiment,trial
D2,True,1.0188610553741455,False,120,2,0,5,experiment,trial
D3,True,0.9592487812042236,False,120,4,0,5,experiment,trial
